#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
67	KAI7841367.1	3076.A0A2P6U127	89.4	942.6	C2E21_1669	Protoporphyrin IX magnesium chelatase.
68	KAI7835473.1	3076.A0A2P6TDZ5	91.1	779.6	C2E21_8641	Cinnamyl alcohol dehydrogenase.
69	KAI7836294.1	3076.A0A2P6TJB4	81.9	661.8	C2E21_6877	Palmitoyl-monogalactosyldiacylglycerol delta-7 chloroplastic; Belongs to the fatty acid desaturase type 1 family.
70	KAI7845283.1	3076.A0A2P6TMX2	98.0	780.4	C2E21_5958	Protein-serine/threonine kinase.
71	KAI7844083.1	3076.A0A2P6TV03	82.0	1937.2	C2E21_3326	Water chloroplastic isoform B.
72	KAI7845817.1	3076.A0A2P6TFQ3	92.9	1793.9	C2E21_8118	Translation factor GUF1 homolog, chloroplastic; Promotes chloroplast protein synthesis. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family.
73	KAI7839659.1	3076.A0A2P6TY53	92.8	503.8	C2E21_2683	Adenylyl-sulfate kinase chloroplastic.
74	KAI7840058.1	3076.A0A2P6TWI8	93.4	559.7	C2E21_2735	Aldo keto reductase.
75	KAI7843138.1	3076.A0A2P6THJ9	75.9	1010.7	C2E21_7376	Serine threonine-kinase CTR1.
76	KAI7846072.1	3076.A0A2P6TS62	88.1	806.2	C2E21_3819	Serine hydroxymethyltransferase; Interconversion of serine and glycine.
77	KAI7835770.1	3076.A0A2P6TSG4	100.0	262.3	C2E21_3789	NADH dehydrogenase [ubiquinone] iron-sulfur mitochondrial-like; Belongs to the complex I 20 kDa subunit family.
78	KAI7839353.1	3076.A0A2P6TXD9	80.6	379.8	C2E21_2443	Fidgetin 1.
79	KAI7839395.1	3076.A0A2P6TSU7	70.7	628.6	C2E21_4345	Photosystem II 10 kDa chloroplastic.
80	KAI7838708.1	3076.A0A2P6TV61	88.8	560.1	C2E21_3699	NADPH:quinone reductase.
81	KAI7841385.1	3076.A0A2P6U195	93.0	812.4	C2E21_1684	Omega-3 fatty acid desaturase.
82	KAI7845411.1	3076.A0A2P6TEP7	90.6	789.3	C2E21_8473	Molybdopterin biosynthesis CNX1.
83	KAI7846153.1	3076.A0A2P6U3Y8	88.6	518.8	C2E21_0036	Glutathione gamma-glutamylcysteinyltransferase 1.
84	KAI7840492.1	3076.A0A2P6TYY7	81.2	966.5	C2E21_2586	Sulfatase.
85	KAI7844107.1	3076.A0A2P6TRH4	83.5	2962.9	C2E21_4482	Transcription factor jumonji domain.
86	KAI7837532.1	3076.A0A2P6TSA9	75.1	723.8	C2E21_4293	Putative chlorophyll(Ide) b reductase chloroplastic isoform B.
87	KAI7840378.1	3076.A0A2P6TPH7	82.3	2718.3	C2E21_4983	Baculoviral IAP repeat-containing 6-like.
88	KAI7846469.1	3076.A0A2P6TQD8	79.4	1520.0	C2E21_5034	NADH dehydrogenase [ubiquinone] flavo mitochondrial.
89	KAI7835908.1	3076.A0A2P6TSL3	98.6	1260.4	C2E21_4083	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial; Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q).
90	KAI7838609.1	3076.A0A2P6TIN0	86.5	943.0	C2E21_7124	Threonine dehydratase.
91	KAI7844008.1	3076.A0A2P6U3N8	42.7	525.8	C2E21_0396	Ferric reductase.
92	KAI7840743.1	3076.A0A2P6TDA9	96.7	879.8	C2E21_8757	3-oxoacyl-[acyl-carrier-protein] synthase; Belongs to the thiolase-like superfamily. Beta-ketoacyl-ACP synthases family.
93	KAI7835395.1	3076.A0A2P6TDB7	78.9	716.8	C2E21_8806	Dihydrolipoyl dehydrogenase.
94	KAI7836141.1	3076.A0A2P6TI98	86.4	851.7	C2E21_7470	Trans-2-enoyl-reductase.
95	KAI7837592.1	3076.A0A2P6U2S5	62.1	453.4	C2E21_0894	D-lactate dehydrogenase.
96	KAI7843662.1	3076.A0A2P6TUX9	74.9	594.3	C2E21_3399	3-ketoacyl-thiolase peroxisomal; Belongs to the thiolase-like superfamily. Thiolase family.
97	KAI7846406.1	3076.A0A2P6TL81	78.6	788.1	C2E21_6139	Tyrosine decarboxylase 1-like.
98	KAI7836607.1	3076.A0A2P6U0G1	78.3	845.5	C2E21_1792	Cytochrome P450; Belongs to the cytochrome P450 family.
99	KAI7840659.1	3076.A0A2P6TP92	97.6	671.0	C2E21_5659	2-oxoisovalerate dehydrogenase subunit alpha; The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3).
100	KAI7839033.1	3076.A0A2P6TWI4	87.4	815.1	C2E21_3242	Serine threonine-kinase isoform A.
101	KAI7835873.1	3076.A0A2P6U3T0	93.3	745.0	C2E21_0679	Pyruvate dehydrogenase E1 component subunit mitochondrial isoform B.
102	KAI7843212.1	3076.A0A2P6THJ8	92.0	766.1	C2E21_7296	Mitochondrial.
103	KAI7838568.1	3076.A0A2P6TNW3	68.2	398.7	C2E21_5546	Plastidial lipoyltransferase 2.
104	KAI7835341.1	3076.A0A2P6TTC0	83.5	427.2	C2E21_3951	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides; Belongs to the cyclophilin-type PPIase family.
105	KAI7839908.1	3076.A0A2P6U1C5	83.0	1034.6	C2E21_1363	Pyruvate dehydrogenase E1 beta subunit.
106	KAI7844182.1	3076.A0A2P6TS60	90.9	1357.8	C2E21_3911	Amine oxidase.
107	KAI7842613.1	3076.A0A2P6TSI6	95.6	846.7	C2E21_4236	Sulfate adenylyltransferase.
108	KAI7842492.1	3076.A0A2P6TNB0	76.3	613.2	C2E21_5476	Class V aminotransferase.
109	KAI7839129.1	3076.A0A2P6TD47	84.2	290.8	C2E21_8972	WD40 repeat.
110	KAI7838123.1	3076.A0A2P6TPV8	76.1	667.9	C2E21_5099	Photosystem I reaction center subunit III.
111	KAI7844306.1	3076.A0A2P6TYZ1	89.1	453.4	C2E21_2270	NAD-dependent dehydrogenase 2.
112	KAI7843702.1	3076.A0A2P6TUL8	95.5	962.2	C2E21_3438	Alanine--glyoxylate aminotransferase 2-like protein mitochondrial.
113	KAI7837638.1	3076.A0A2P6TK17	85.4	1480.7	C2E21_6538	Puromycin-sensitive aminopeptidase isoform X2.
114	KAI7838954.1	3076.A0A2P6U3W4	87.4	446.8	C2E21_0149	Pyrroline-5-carboxylate reductase; Belongs to the pyrroline-5-carboxylate reductase family.
115	KAI7840913.1	3076.A0A2P6THH0	92.5	677.2	C2E21_7656	Arsenite methyltransferase.
116	KAI7840194.1	3076.A0A2P6U0A4	59.4	689.5	C2E21_1416	Ceramide kinase-like.
117	KAI7835894.1	3076.A0A2P6U4I0	93.3	433.3	C2E21_0694	Uncharacterized protein.
118	KAI7839976.1	3076.A0A2P6U237	84.2	611.7	C2E21_0808	Phosphatidylinositol:ceramide inositolphosphotransferase 1.
119	KAI7839520.1	3076.A0A2P6TC93	80.1	634.0	C2E21_9172	Radical SAM domain-containing.
120	KAI7840008.1	3076.A0A2P6TC65	93.7	1767.3	C2E21_9241	Putative glucan 1,3-alpha-glucosidase.
121	KAI7845749.1	3076.A0A2P6TG03	97.7	594.0	C2E21_8172	Testosterone 17-beta-dehydrogenase 3.
122	KAI7842680.1	3076.A0A2P6U1K2	95.6	531.6	C2E21_0959	Malate synthase; Belongs to the malate synthase family.
123	KAI7845486.1	3076.A0A2P6TFX2	83.4	1129.0	C2E21_8082	Ubiquinone biosynthesis COQ4 mitochondrial.
124	KAI7839639.1	3076.A0A2P6TJX3	86.8	231.9	C2E21_6685	Pyruvate:ferredoxin (Flavodoxin) oxidoreductase.
125	KAI7840718.1	3076.A0A2P6TVM4	97.7	943.7	C2E21_3263	Elongation factor.
126	KAI7837636.1	3076.A0A2P6TKH3	79.6	464.2	C2E21_6539	2-deoxy-D-gluconate 3-dehydrogenase.
127	KAI7843095.1	3076.A0A2P6U2F4	54.3	631.7	C2E21_1083	RE1-silencing transcription factor-like.
128	KAI7844105.1	3076.A0A2P6TQS8	92.2	539.3	C2E21_4481	Nudix hydrolase 8.
129	KAI7846366.1	3076.A0A2P6TLK6	92.0	890.6	C2E21_6178	Malonyl--acyl carrier mitochondrial.
130	KAI7845743.1	3076.A0A2P6TFL3	90.1	533.1	C2E21_8177	N-D-ribosylpurine ribohydrolase.
131	KAI7837008.1	3076.A0A2P6TG93	98.3	369.4	C2E21_7923	Carotene isomerase.
132	KAI7836323.1	3076.A0A2P6TJ39	86.6	1254.6	C2E21_6901	Acetolactate synthase; Belongs to the TPP enzyme family.
133	KAI7844512.1	3076.A0A2P6TVU2	81.0	392.9	C2E21_3089	Manganese-dependent ADP-ribose CDP-alcohol diphosphatase.
134	KAI7842957.1	3076.A0A2P6TJX4	75.3	734.6	C2E21_6627	Pyruvate decarboxylase 4.
135	KAI7835759.1	3076.A0A2P6TST2	91.8	374.0	C2E21_3798	Beta-hydroxyacyl-ACP dehydratase.
136	KAI7837378.1	3076.A0A2P6TDQ5	95.1	944.9	C2E21_8860	Agmatine deiminase.
137	KAI7840986.1	3076.A0A2P6U3I9	99.2	270.8	C2E21_0234	Serine threonine-kinase CTR1; Belongs to the peptidase S1 family.
138	KAI7837259.1	3076.A0A2P6TXT9	97.2	1000.3	C2E21_2030	Citrate synthase.
139	KAI7838692.1	3076.A0A2P6U2S7	96.8	869.0	C2E21_0765	Citrate synthase; Belongs to the citrate synthase family.
140	KAI7837493.1	3076.A0A2P6TNG3	93.4	495.7	C2E21_5576	GTP cyclohydrolase II.
141	KAI7836555.1	3076.A0A2P6TH34	96.6	1003.4	C2E21_7674	NADP-specific glutamate dehydrogenase; Belongs to the Glu/Leu/Phe/Val dehydrogenases family.
142	KAI7840764.1	3076.A0A2P6TDD0	95.8	720.3	C2E21_8763	Fructose-bisphosphate aldolase; Belongs to the class I fructose-bisphosphate aldolase family.
143	KAI7835671.1	3076.A0A2P6TNG2	89.9	422.9	C2E21_5650	Peptidylprolyl isomerase.
144	KAI7841826.1	3076.A0A2P6TXW8	84.3	986.1	C2E21_2425	5-nucleotidase; Belongs to the 5'-nucleotidase family.
145	KAI7840431.1	3076.A0A2P6TIU0	75.8	2541.1	C2E21_6932	Cytochrome P450 chloroplastic isoform B.
146	KAI7845903.1	3076.A0A2P6TPN7	96.8	765.4	C2E21_5037	Queuine tRNA-ribosyltransferase catalytic subunit 1; Catalytic subunit of the queuine tRNA-ribosyltransferase (TGT) that catalyzes the base-exchange of a guanine (G) residue with queuine (Q) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, formi [...] 
147	KAI7845889.1	3076.A0A2P6TPS0	86.0	725.3	C2E21_5046	Cystathionine beta-lyase.
148	KAI7835734.1	3076.A0A2P6TID0	86.1	1034.6	C2E21_7274	Carotene epsilon-chloroplastic isoform B; Belongs to the cytochrome P450 family.
149	KAI7837122.1	3076.A0A2P6TZA5	86.6	382.5	C2E21_2349	Acetyltransferase NSI isoform X2.
150	KAI7843635.1	3076.A0A2P6TJ87	90.6	276.6	C2E21_7053	Ubiquitin-conjugating enzyme E2 28-like; Belongs to the ubiquitin-conjugating enzyme family.
151	KAI7843948.1	3076.A0A2P6TQJ6	94.9	738.4	C2E21_5181	Serine threonine-kinase AFC3 isoform X1.
152	KAI7838863.1	3076.A0A2P6TC17	74.4	490.7	C2E21_9189	Prostaglandin E synthase 2-like; Belongs to the peptidase S1 family.
153	KAI7840876.1	3076.A0A2P6U0L3	83.5	1039.6	C2E21_1803	5-nucleotidase.
154	KAI7839914.1	3076.A0A2P6TZJ4	91.5	495.7	C2E21_1369	Adenylate kinase; Belongs to the adenylate kinase family.
155	KAI7845667.1	3076.A0A2P6TK03	71.5	217.6	C2E21_6806	PsbP domain-containing chloroplastic.
156	KAI7838571.1	3076.A0A2P6TNY8	87.3	864.8	C2E21_5549	Enoyl-hydratase; Belongs to the enoyl-CoA hydratase/isomerase family.
157	KAI7837625.1	3076.A0A2P6TKL3	97.2	973.8	C2E21_6549	Acetohydroxy acid isomeroreductase isoform B; Belongs to the ketol-acid reductoisomerase family.
158	KAI7843867.1	3076.A0A2P6TQL2	99.0	219.2	C2E21_5245	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides; Belongs to the cyclophilin-type PPIase family.
159	KAI7843157.1	3076.A0A2P6TGZ5	89.3	437.6	C2E21_7593	Lumen targeted.
160	KAI7846263.1	3076.A0A2P6TJV6	89.4	1046.2	C2E21_6697	E3 ubiquitin-ligase UPL7.
161	KAI7844693.1	3076.A0A2P6TZG1	92.7	508.4	C2E21_1973	Glucosidase 2 subunit beta.
162	KAI7841917.1	3076.A0A2P6U0K1	88.4	1158.7	C2E21_1583	NADPH-cytochrome P450 reductase.
163	KAI7846203.1	3076.A0A2P6TV24	82.5	859.8	C2E21_3552	ATP-NAD kinase isoform A.
164	KAI7842101.1	3076.A0A2P6TN35	82.0	243.4	C2E21_5990	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides; Belongs to the cyclophilin-type PPIase family.
165	KAI7846106.1	3076.A0A2P6U0Z3	97.1	260.8	C2E21_1713	EF-hand domain-containing 1.
166	KAI7841591.1	3076.A0A2P6TX55	93.6	596.3	C2E21_2969	Very-long-chain 3-oxoacyl-reductase 1-like.
167	KAI7838009.1	3076.A0A2P6U5J9	94.0	513.5	C2E21_0635	F1F0 ATP synthase gamma subunit.
168	KAI7835457.1	3076.A0A2P6TG80	93.9	995.7	C2E21_7827	Multicopper oxidase; Belongs to the RNase T2 family.
169	KAI7837959.1	3076.A0A2P6TLQ0	84.4	1148.3	C2E21_6315	Lysine-specific demethylase JMJ16.
169	KAI7837959.1	3076.A0A2P6TLQ0	53.5	70.9	C2E21_6315	Lysine-specific demethylase JMJ16.
170	KAI7845701.1	3076.A0A2P6TJN1	73.9	762.7	C2E21_6839	Photosystem II.
171	KAI7846104.1	3076.A0A2P6U1C9	80.9	303.1	C2E21_1709	Aldo keto reductase.
172	KAI7844594.1	3076.A0A2P6TU47	94.3	783.1	C2E21_3666	Fatty acid delta-12.
173	KAI7837955.1	3076.A0A2P6TL70	87.2	731.5	C2E21_6317	Putative 2,3-bisphosphoglycerate-independent phosphoglycerate mutase isoform X2.
174	KAI7841110.1	3076.A0A2P6TWA2	93.4	703.7	C2E21_2756	DnaJ-like protein.
175	KAI7838599.1	3076.A0A2P6TIV7	84.8	525.4	C2E21_7133	Thymidine kinase; Belongs to the thymidine kinase family.
176	KAI7841121.1	3076.A0A2P6TGC2	93.9	695.7	C2E21_7766	V-type proton ATPase subunit; Subunit of the integral membrane V0 complex of vacuolar ATPase. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system. Belongs to the V-ATPase V0D/AC39 subunit family.
177	KAI7837616.1	3076.A0A2P6TJN0	84.7	2001.5	C2E21_6557	ABC transporter A family member 7-like isoform A.
178	KAI7841778.1	3076.A0A2P6TCC0	92.6	1098.2	C2E21_9180	Chlorophyllide a oxygenase.
179	KAI7836445.1	3076.A0A2P6TNE4	79.2	421.0	C2E21_5637	Serine threonine-kinase CTR1; Belongs to the RNase T2 family.
180	KAI7837077.1	3076.A0A2P6THW9	91.3	1189.1	C2E21_7353	Malic enzyme.
181	KAI7835279.1	3076.A0A2P6TVU0	96.5	689.9	C2E21_3071	Hydroxylamine reductase.
182	KAI7837224.1	3076.A0A2P6TUM3	95.9	1184.9	C2E21_3626	Aspartate--tRNA ligase.
183	KAI7838814.1	3076.A0A2P6U539	92.2	520.4	C2E21_0110	Glucose-6-phosphate 1-epimerase; Belongs to the glucose-6-phosphate 1-epimerase family.
184	KAI7836349.1	3076.A0A2P6U4E0	89.6	678.7	C2E21_0458	Chorismate synthase.
185	KAI7839672.1	3076.A0A2P6TZ22	99.4	644.8	C2E21_2675	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial; Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of ATP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit.
186	KAI7845496.1	3076.A0A2P6TN78	89.5	2363.2	C2E21_5419	Glutathione chloroplastic; Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family.
187	KAI7846208.1	3076.A0A2P6TVC8	87.3	593.2	C2E21_3556	Fructokinase.
188	KAI7841060.1	3076.A0A2P6U4I0	80.5	373.6	C2E21_0694	Uncharacterized protein.
189	KAI7845494.1	3076.A0A2P6TTA9	34.7	254.6	C2E21_4350	FAD-dependent oxidoreductase.
190	KAI7837291.1	3076.A0A2P6TRN4	96.9	539.3	C2E21_4843	Angio-associated migratory cell.
191	KAI7837934.1	3076.A0A2P6TL29	93.4	931.8	C2E21_6334	5-nucleotidase domain-containing 4 isoform X2.
192	KAI7845266.1	3076.A0A2P6TRW2	98.1	506.9	C2E21_4587	Ribulose-phosphate 3-chloroplastic.
193	KAI7844572.1	3076.A0A2P6TVM1	98.7	327.0	C2E21_3140	Superoxide dismutase [Fe].
194	KAI7842407.1	3076.A0A2P6TYT1	95.1	1027.7	C2E21_2043	tRNA-2-methylthio-N(6)-dimethylallyladenosin e synthase.
195	KAI7844225.1	3076.A0A2P6TZ91	95.6	608.6	C2E21_2342	6-phosphogluconate dehydrogenase, decarboxylating; Belongs to the 6-phosphogluconate dehydrogenase family.
196	KAI7844943.1	3076.A0A2P6U466	96.0	349.7	C2E21_0527	Ubiquitin-conjugating enzyme E2 20-like; Belongs to the ubiquitin-conjugating enzyme family.
