#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C2E21_0012	C2E21_4993	3076.A0A2P6U3T2	3076.A0A2P6TQL9	0	0	0	0	0.043	0	0.552	0.072	0.567
C2E21_0012	C2E21_4562	3076.A0A2P6U3T2	3076.A0A2P6TR00	0.069	0	0	0	0.145	0.103	0.425	0.074	0.550
C2E21_0012	C2E21_4076	3076.A0A2P6U3T2	3076.A0A2P6TSA6	0.113	0	0	0	0	0.063	0.425	0.117	0.521
C2E21_0012	C2E21_4110	3076.A0A2P6U3T2	3076.A0A2P6TSF9	0.077	0	0	0	0.139	0.109	0.610	0.096	0.704
C2E21_0012	C2E21_3798	3076.A0A2P6U3T2	3076.A0A2P6TST2	0.112	0	0	0	0.447	0	0.260	0.190	0.666
C2E21_0012	C2E21_3712	3076.A0A2P6U3T2	3076.A0A2P6TUA3	0.086	0	0	0	0.332	0	0.230	0.115	0.528
C2E21_0012	C2E21_3400	3076.A0A2P6U3T2	3076.A0A2P6TUD6	0.077	0	0	0	0.139	0.109	0.610	0.096	0.704
C2E21_0012	C2E21_3438	3076.A0A2P6U3T2	3076.A0A2P6TUL8	0	0	0	0	0	0	0.882	0.115	0.891
C2E21_0012	C2E21_3399	3076.A0A2P6U3T2	3076.A0A2P6TUX9	0.077	0	0	0	0.139	0.109	0.610	0.096	0.704
C2E21_0012	C2E21_3773	3076.A0A2P6U3T2	3076.A0A2P6TVB6	0.057	0	0	0	0	0	0.540	0.146	0.597
C2E21_0012	C2E21_2710	3076.A0A2P6U3T2	3076.A0A2P6TVY0	0.082	0	0	0	0.150	0.211	0.230	0.149	0.523
C2E21_0012	C2E21_2028	3076.A0A2P6U3T2	3076.A0A2P6TY18	0	0	0	0	0	0	0.495	0.205	0.581
C2E21_0012	C2E21_1738	3076.A0A2P6U3T2	3076.A0A2P6TZQ3	0.071	0	0	0	0.047	0.054	0.610	0.074	0.642
C2E21_0012	C2E21_1807	3076.A0A2P6U3T2	3076.A0A2P6TZV7	0.077	0	0	0	0.139	0.109	0.610	0.096	0.704
C2E21_0012	C2E21_1664	3076.A0A2P6U3T2	3076.A0A2P6U098	0.062	0	0	0	0.140	0.053	0.884	0.059	0.901
C2E21_0012	C2E21_1532	3076.A0A2P6U3T2	3076.A0A2P6U0B0	0.062	0	0	0	0.140	0.053	0.884	0.059	0.901
C2E21_0012	C2E21_1653	3076.A0A2P6U3T2	3076.A0A2P6U0B2	0.095	0.897	0	0	0.478	0.485	0.867	0.235	0.996
C2E21_0012	C2E21_1789	3076.A0A2P6U3T2	3076.A0A2P6U0E0	0	0	0	0	0	0.210	0.277	0	0.404
C2E21_0012	C2E21_2019	3076.A0A2P6U3T2	3076.A0A2P6U0I9	0.069	0	0	0	0	0	0.425	0.074	0.460
C2E21_0012	C2E21_1772	3076.A0A2P6U3T2	3076.A0A2P6U0R3	0.071	0	0	0	0.047	0.054	0.610	0.074	0.642
C2E21_0012	C2E21_1345	3076.A0A2P6U3T2	3076.A0A2P6U110	0.062	0	0	0	0.140	0.053	0.884	0.059	0.901
C2E21_0012	C2E21_1363	3076.A0A2P6U3T2	3076.A0A2P6U1C5	0.082	0	0	0	0.080	0.213	0.230	0.115	0.464
C2E21_0012	C2E21_1765	3076.A0A2P6U3T2	3076.A0A2P6U1C8	0.086	0	0	0	0.332	0	0.230	0.115	0.528
C2E21_0012	C2E21_1048	3076.A0A2P6U3T2	3076.A0A2P6U2C5	0	0	0	0	0.043	0	0.552	0.072	0.567
C2E21_0012	C2E21_1131	3076.A0A2P6U3T2	3076.A0A2P6U2E4	0	0	0	0	0.042	0.049	0.452	0.074	0.475
C2E21_0012	C2E21_1316	3076.A0A2P6U3T2	3076.A0A2P6U3E9	0.086	0	0	0	0.343	0	0.241	0.115	0.542
C2E21_0012	C2E21_0876	3076.A0A2P6U3T2	3076.A0A2P6U3H9	0.086	0	0	0	0.343	0	0.241	0.115	0.542
C2E21_0012	C2E21_0129	3076.A0A2P6U3T2	3076.A0A2P6U3J4	0.069	0	0	0	0.145	0.103	0.425	0.074	0.550
C2E21_0012	C2E21_0597	3076.A0A2P6U3T2	3076.A0A2P6U4B2	0	0	0	0	0.042	0.049	0.452	0.074	0.475
C2E21_0012	C2E21_0139	3076.A0A2P6U3T2	3076.A0A2P6U556	0.057	0	0	0	0	0	0.540	0.146	0.597
C2E21_0015	C2E21_9261	3076.A0A2P6U4G8	3076.A0A2P6TBX2	0	0	0	0	0.079	0.070	0	0.496	0.530
C2E21_0015	C2E21_9201	3076.A0A2P6U4G8	3076.A0A2P6TC60	0.077	0	0	0	0	0.111	0.599	0.159	0.686
C2E21_0015	C2E21_8445	3076.A0A2P6U4G8	3076.A0A2P6TES7	0.193	0	0.482	0	0.920	0.930	0.884	0.532	0.999
C2E21_0015	C2E21_7766	3076.A0A2P6U4G8	3076.A0A2P6TGC2	0.193	0	0	0	0.920	0.930	0.922	0.532	0.999
C2E21_0015	C2E21_7553	3076.A0A2P6U4G8	3076.A0A2P6THB3	0.149	0	0	0	0.818	0.779	0.922	0.471	0.998
C2E21_0015	C2E21_7326	3076.A0A2P6U4G8	3076.A0A2P6THS2	0.193	0	0	0	0.831	0.930	0.811	0.532	0.999
C2E21_0015	C2E21_6235	3076.A0A2P6U4G8	3076.A0A2P6TL77	0.193	0	0	0	0.833	0.930	0.922	0.532	0.999
C2E21_0015	C2E21_6300	3076.A0A2P6U4G8	3076.A0A2P6TL93	0	0	0	0	0.068	0.204	0.659	0.231	0.779
C2E21_0015	C2E21_6412	3076.A0A2P6U4G8	3076.A0A2P6TLI1	0.149	0	0	0	0.824	0.930	0.922	0.532	0.999
C2E21_0015	C2E21_6315	3076.A0A2P6U4G8	3076.A0A2P6TLQ0	0.077	0	0	0	0	0.111	0.599	0.159	0.686
C2E21_0015	C2E21_6034	3076.A0A2P6U4G8	3076.A0A2P6TMV2	0	0	0	0	0	0.132	0.242	0.195	0.424
C2E21_0015	C2E21_4725	3076.A0A2P6U4G8	3076.A0A2P6TR90	0	0	0	0	0.596	0.070	0	0.079	0.623
C2E21_0015	C2E21_4482	3076.A0A2P6U4G8	3076.A0A2P6TRH4	0.077	0	0	0	0	0.111	0.599	0.159	0.686
C2E21_0015	C2E21_4394	3076.A0A2P6U4G8	3076.A0A2P6TS88	0.149	0	0	0	0.824	0.930	0.922	0.532	0.999
C2E21_0015	C2E21_4210	3076.A0A2P6U4G8	3076.A0A2P6TTK6	0	0	0	0	0.297	0.930	0.811	0.532	0.995
C2E21_0015	C2E21_4384	3076.A0A2P6U4G8	3076.A0A2P6TTQ2	0	0	0	0	0.072	0.191	0.772	0.185	0.842
C2E21_0015	C2E21_3715	3076.A0A2P6U4G8	3076.A0A2P6TU89	0	0	0	0	0	0.132	0.242	0.258	0.469
C2E21_0015	C2E21_2896	3076.A0A2P6U4G8	3076.A0A2P6TW74	0	0	0	0	0	0.090	0.604	0.086	0.641
C2E21_0015	C2E21_2028	3076.A0A2P6U4G8	3076.A0A2P6TY18	0	0	0	0	0	0	0	0.624	0.624
C2E21_0015	C2E21_2428	3076.A0A2P6U4G8	3076.A0A2P6TY35	0	0	0	0	0	0.132	0.242	0.195	0.424
C2E21_0015	C2E21_2237	3076.A0A2P6U4G8	3076.A0A2P6TYI8	0	0	0	0	0	0.132	0.242	0.258	0.469
C2E21_0015	C2E21_2662	3076.A0A2P6U4G8	3076.A0A2P6TYT7	0.077	0	0	0.626	0.056	0.141	0.732	0.435	0.866
C2E21_0015	C2E21_2349	3076.A0A2P6U4G8	3076.A0A2P6TZA5	0.149	0	0	0	0.818	0.779	0.659	0.395	0.991
C2E21_0015	C2E21_0635	3076.A0A2P6U4G8	3076.A0A2P6U5J9	0	0	0	0	0.072	0.191	0.772	0.185	0.842
C2E21_0021	C2E21_9163	3076.A0A2P6U422	3076.A0A2P6TC20	0.140	0	0	0	0	0	0.630	0.310	0.761
C2E21_0021	C2E21_8738	3076.A0A2P6U422	3076.A0A2P6TDA2	0.083	0	0	0	0	0	0.478	0.080	0.521
C2E21_0021	C2E21_8806	3076.A0A2P6U422	3076.A0A2P6TDB7	0.098	0	0	0	0.069	0.053	0.967	0.143	0.973
C2E21_0021	C2E21_8839	3076.A0A2P6U422	3076.A0A2P6TDJ7	0.075	0	0	0	0	0	0.500	0	0.517
C2E21_0021	C2E21_8381	3076.A0A2P6U422	3076.A0A2P6TEC2	0	0	0	0	0	0	0.900	0.226	0.919
C2E21_0021	C2E21_8126	3076.A0A2P6U422	3076.A0A2P6TFI1	0	0	0	0	0.319	0.141	0	0.310	0.561
C2E21_0021	C2E21_8023	3076.A0A2P6U422	3076.A0A2P6TFJ4	0.124	0	0	0	0	0	0.452	0.124	0.542
C2E21_0021	C2E21_7982	3076.A0A2P6U422	3076.A0A2P6TFX0	0	0	0	0	0	0	0.967	0.494	0.982
C2E21_0021	C2E21_8172	3076.A0A2P6U422	3076.A0A2P6TG03	0.075	0	0	0	0	0	0.500	0	0.517
C2E21_0021	C2E21_7768	3076.A0A2P6U422	3076.A0A2P6TG73	0	0	0	0	0.056	0	0.418	0.221	0.534
C2E21_0021	C2E21_7809	3076.A0A2P6U422	3076.A0A2P6TGC6	0.067	0	0	0	0.254	0.057	0.505	0.156	0.675
C2E21_0021	C2E21_7600	3076.A0A2P6U422	3076.A0A2P6TH55	0.085	0	0	0	0.304	0	0	0.226	0.464
C2E21_0021	C2E21_7296	3076.A0A2P6U422	3076.A0A2P6THJ8	0.093	0.002	0	0	0.339	0.177	0.967	0.259	0.985
C2E21_0021	C2E21_7466	3076.A0A2P6U422	3076.A0A2P6TI73	0.115	0	0	0	0.079	0.085	0.647	0.226	0.759
C2E21_0021	C2E21_7343	3076.A0A2P6U422	3076.A0A2P6TI85	0.115	0	0	0	0.044	0	0.299	0.226	0.479
C2E21_0021	C2E21_7124	3076.A0A2P6U422	3076.A0A2P6TIN0	0	0	0	0	0	0	0.967	0.143	0.970
C2E21_0021	C2E21_7133	3076.A0A2P6U422	3076.A0A2P6TIV7	0.140	0	0	0	0.102	0	0	0.310	0.420
C2E21_0021	C2E21_7003	3076.A0A2P6U422	3076.A0A2P6TJA3	0.085	0	0	0	0.304	0	0	0.226	0.464
C2E21_0021	C2E21_7099	3076.A0A2P6U422	3076.A0A2P6TJD3	0	0	0	0	0.071	0.054	0.242	0.249	0.432
C2E21_0021	C2E21_6827	3076.A0A2P6U422	3076.A0A2P6TJN8	0	0	0	0	0	0	0.925	0.143	0.932
C2E21_0021	C2E21_6607	3076.A0A2P6U422	3076.A0A2P6TJP6	0	0	0	0	0.047	0	0	0.448	0.451
C2E21_0021	C2E21_6829	3076.A0A2P6U422	3076.A0A2P6TJU6	0	0	0	0	0.071	0.054	0.242	0.354	0.512
C2E21_0021	C2E21_6845	3076.A0A2P6U422	3076.A0A2P6TJZ5	0	0	0	0	0.045	0	0.967	0.318	0.976
C2E21_0021	C2E21_6538	3076.A0A2P6U422	3076.A0A2P6TK17	0	0	0	0	0	0.130	0.885	0.122	0.904
C2E21_0021	C2E21_6843	3076.A0A2P6U422	3076.A0A2P6TK81	0.115	0	0	0	0.522	0.087	0.577	0.226	0.850
C2E21_0021	C2E21_6828	3076.A0A2P6U422	3076.A0A2P6TKI2	0	0	0	0	0	0	0.884	0.133	0.895
C2E21_0021	C2E21_6447	3076.A0A2P6U422	3076.A0A2P6TKS7	0	0	0	0	0.046	0	0.471	0.139	0.527
C2E21_0021	C2E21_6363	3076.A0A2P6U422	3076.A0A2P6TKU7	0.105	0	0	0	0.119	0	0	0.310	0.408
C2E21_0021	C2E21_6204	3076.A0A2P6U422	3076.A0A2P6TL15	0.246	0	0	0	0.136	0	0.967	0.666	0.991
C2E21_0021	C2E21_5943	3076.A0A2P6U422	3076.A0A2P6TM42	0.102	0	0	0	0.142	0	0.270	0.154	0.460
C2E21_0021	C2E21_6100	3076.A0A2P6U422	3076.A0A2P6TMI4	0	0	0	0	0	0	0.941	0.143	0.947
C2E21_0021	C2E21_6000	3076.A0A2P6U422	3076.A0A2P6TMT4	0.098	0	0	0	0.069	0.053	0.500	0.143	0.597
C2E21_0021	C2E21_5419	3076.A0A2P6U422	3076.A0A2P6TN78	0.098	0	0	0	0.069	0.053	0.500	0.143	0.597
C2E21_0021	C2E21_5374	3076.A0A2P6U422	3076.A0A2P6TNP3	0	0	0	0	0.154	0	0.495	0.116	0.589
C2E21_0021	C2E21_5500	3076.A0A2P6U422	3076.A0A2P6TP65	0.113	0	0	0	0.078	0	0.299	0.207	0.484
C2E21_0021	C2E21_5619	3076.A0A2P6U422	3076.A0A2P6TP88	0.113	0	0	0	0.078	0	0.299	0.207	0.484
C2E21_0021	C2E21_5257	3076.A0A2P6U422	3076.A0A2P6TQ35	0	0	0	0	0	0.130	0.885	0.122	0.904
C2E21_0021	C2E21_4993	3076.A0A2P6U422	3076.A0A2P6TQL9	0	0	0	0	0.046	0	0.471	0.139	0.527
C2E21_0021	C2E21_4575	3076.A0A2P6U422	3076.A0A2P6TQT8	0	0.025	0	0	0.068	0	0.967	0.225	0.974
C2E21_0021	C2E21_4488	3076.A0A2P6U422	3076.A0A2P6TQY5	0	0	0	0	0.136	0.163	0	0.297	0.447
C2E21_0021	C2E21_4639	3076.A0A2P6U422	3076.A0A2P6TQZ6	0	0	0	0	0.078	0.117	0.288	0.116	0.419
C2E21_0021	C2E21_4827	3076.A0A2P6U422	3076.A0A2P6TR81	0.090	0	0	0	0	0	0.496	0.054	0.528
C2E21_0021	C2E21_4550	3076.A0A2P6U422	3076.A0A2P6TRA0	0.138	0	0	0	0.310	0	0	0.310	0.553
C2E21_0021	C2E21_4775	3076.A0A2P6U422	3076.A0A2P6TRA9	0.071	0	0	0	0	0	0	0.434	0.451
C2E21_0021	C2E21_4472	3076.A0A2P6U422	3076.A0A2P6TRP3	0	0	0	0	0.071	0	0.242	0.303	0.466
C2E21_0021	C2E21_3819	3076.A0A2P6U422	3076.A0A2P6TS62	0	0	0.121	0.836	0	0.102	0.967	0	0.971
C2E21_0021	C2E21_4022	3076.A0A2P6U422	3076.A0A2P6TS64	0	0	0	0	0	0	0.906	0.143	0.915
C2E21_0021	C2E21_3856	3076.A0A2P6U422	3076.A0A2P6TS82	0.090	0	0	0	0	0	0.496	0.054	0.528
C2E21_0021	C2E21_3923	3076.A0A2P6U422	3076.A0A2P6TSC7	0	0	0	0	0.056	0	0.418	0.221	0.534
C2E21_0021	C2E21_3798	3076.A0A2P6U422	3076.A0A2P6TST2	0.105	0	0	0	0	0	0	0.402	0.441
C2E21_0021	C2E21_4195	3076.A0A2P6U422	3076.A0A2P6TSW1	0	0	0	0	0	0	0.902	0.118	0.909
C2E21_0021	C2E21_4040	3076.A0A2P6U422	3076.A0A2P6TSZ3	0.140	0	0	0	0.325	0.213	0.929	0.310	0.973
C2E21_0021	C2E21_4212	3076.A0A2P6U422	3076.A0A2P6TT80	0.073	0	0	0	0.093	0	0	0.353	0.408
C2E21_0021	C2E21_3837	3076.A0A2P6U422	3076.A0A2P6TTR0	0.072	0	0	0	0.089	0	0.455	0.313	0.641
C2E21_0021	C2E21_3675	3076.A0A2P6U422	3076.A0A2P6TUC0	0.115	0	0	0	0.079	0.085	0.577	0.226	0.711
C2E21_0021	C2E21_3418	3076.A0A2P6U422	3076.A0A2P6TUJ0	0	0	0	0	0	0	0.471	0.110	0.509
C2E21_0021	C2E21_3438	3076.A0A2P6U422	3076.A0A2P6TUL8	0	0	0	0	0.050	0	0.967	0.170	0.971
C2E21_0021	C2E21_3308	3076.A0A2P6U422	3076.A0A2P6TV83	0.075	0	0	0	0	0	0.500	0	0.517
C2E21_0021	C2E21_3397	3076.A0A2P6U422	3076.A0A2P6TVA4	0	0	0	0	0.337	0	0	0.309	0.522
C2E21_0021	C2E21_3755	3076.A0A2P6U422	3076.A0A2P6TVI6	0.082	0	0	0	0.144	0.063	0	0.303	0.418
C2E21_0021	C2E21_2762	3076.A0A2P6U422	3076.A0A2P6TVQ0	0.078	0	0	0	0.313	0.063	0	0.156	0.432
C2E21_0021	C2E21_2964	3076.A0A2P6U422	3076.A0A2P6TW76	0	0	0	0	0.154	0	0.495	0.116	0.589
C2E21_0021	C2E21_2991	3076.A0A2P6U422	3076.A0A2P6TWE7	0.107	0	0	0	0.043	0.063	0	0.346	0.406
C2E21_0021	C2E21_2698	3076.A0A2P6U422	3076.A0A2P6TWF5	0	0	0	0	0	0	0.471	0.114	0.511
C2E21_0021	C2E21_3143	3076.A0A2P6U422	3076.A0A2P6TWK9	0.078	0	0	0	0.313	0.063	0	0.156	0.432
C2E21_0021	C2E21_2969	3076.A0A2P6U422	3076.A0A2P6TX55	0.075	0	0	0	0	0	0.500	0	0.517
C2E21_0021	C2E21_2539	3076.A0A2P6U422	3076.A0A2P6TXH4	0.105	0	0	0	0	0	0.718	0.173	0.773
C2E21_0021	C2E21_2028	3076.A0A2P6U422	3076.A0A2P6TY18	0.199	0	0	0	0.136	0.196	0	0.621	0.760
C2E21_0021	C2E21_2074	3076.A0A2P6U422	3076.A0A2P6TYS6	0	0	0	0	0.130	0	0.455	0.046	0.508
C2E21_0021	C2E21_2351	3076.A0A2P6U422	3076.A0A2P6TZ81	0	0	0	0	0.046	0	0.471	0.110	0.511
C2E21_0021	C2E21_2342	3076.A0A2P6U422	3076.A0A2P6TZ91	0	0	0	0	0.254	0.105	0.410	0.240	0.660
C2E21_0021	C2E21_1981	3076.A0A2P6U422	3076.A0A2P6TZQ7	0	0	0	0	0.153	0.139	0	0.251	0.406
C2E21_0021	C2E21_1361	3076.A0A2P6U422	3076.A0A2P6U024	0.098	0	0	0	0.069	0.053	0.906	0.143	0.924
C2E21_0021	C2E21_1532	3076.A0A2P6U422	3076.A0A2P6U0B0	0.066	0	0	0	0.079	0	0	0.411	0.449
C2E21_0021	C2E21_1140	3076.A0A2P6U422	3076.A0A2P6U1P2	0.090	0	0	0	0.047	0.099	0.967	0.226	0.976
C2E21_0021	C2E21_1048	3076.A0A2P6U422	3076.A0A2P6U2C5	0	0	0	0	0.046	0	0.471	0.139	0.527
C2E21_0021	C2E21_0894	3076.A0A2P6U422	3076.A0A2P6U2S5	0.067	0	0	0	0.254	0.057	0.505	0.156	0.675
C2E21_0021	C2E21_1145	3076.A0A2P6U422	3076.A0A2P6U326	0.090	0	0	0	0.047	0.099	0.956	0.226	0.968
C2E21_0021	C2E21_1051	3076.A0A2P6U422	3076.A0A2P6U343	0	0	0	0	0.154	0	0.495	0.116	0.589
C2E21_0021	C2E21_0650	3076.A0A2P6U422	3076.A0A2P6U551	0.083	0	0	0	0	0	0.478	0.080	0.521
C2E21_0021	C2E21_0144	3076.A0A2P6U422	3076.A0A2P6U583	0	0	0	0	0	0	0.931	0.133	0.937
C2E21_0021	C2E21_0160	3076.A0A2P6U422	3076.A0A2P6U5H4	0	0	0	0	0	0	0.949	0.226	0.958
C2E21_0036	C2E21_6829	3076.A0A2P6U3Y8	3076.A0A2P6TJU6	0	0	0	0	0	0	0	0.438	0.438
C2E21_0056	C2E21_9553	3076.A0A2P6U4N8	3076.A0A2P6TB70	0	0	0	0	0.055	0	0.884	0.143	0.897
C2E21_0056	C2E21_9531	3076.A0A2P6U4N8	3076.A0A2P6TB77	0.108	0	0	0	0.313	0	0.906	0.267	0.952
C2E21_0056	C2E21_9506	3076.A0A2P6U4N8	3076.A0A2P6TB82	0	0	0	0	0	0.142	0.931	0	0.938
C2E21_0056	C2E21_9422	3076.A0A2P6U4N8	3076.A0A2P6TBH6	0	0	0	0	0.078	0	0.931	0.114	0.938
C2E21_0056	C2E21_9343	3076.A0A2P6U4N8	3076.A0A2P6TBP9	0.063	0	0	0	0.261	0.157	0.232	0.196	0.573
C2E21_0056	C2E21_9261	3076.A0A2P6U4N8	3076.A0A2P6TBX2	0	0	0	0	0.293	0.110	0	0.228	0.471
C2E21_0056	C2E21_9201	3076.A0A2P6U4N8	3076.A0A2P6TC60	0.055	0	0	0	0.288	0.142	0	0.116	0.421
C2E21_0056	C2E21_9112	3076.A0A2P6U4N8	3076.A0A2P6TCI8	0	0	0	0	0.060	0.051	0.868	0.086	0.877
C2E21_0056	C2E21_8995	3076.A0A2P6U4N8	3076.A0A2P6TCU7	0	0	0	0	0.483	0.174	0	0.156	0.608
C2E21_0056	C2E21_8932	3076.A0A2P6U4N8	3076.A0A2P6TD11	0	0	0	0	0.147	0	0.923	0.319	0.951
C2E21_0056	C2E21_8806	3076.A0A2P6U4N8	3076.A0A2P6TDB7	0	0.031	0	0	0.540	0.305	0.967	0.273	0.991
C2E21_0056	C2E21_8763	3076.A0A2P6U4N8	3076.A0A2P6TDD0	0	0	0	0	0.101	0	0.914	0.114	0.925
C2E21_0056	C2E21_8528	3076.A0A2P6U4N8	3076.A0A2P6TEN8	0.063	0	0	0	0.047	0.157	0.232	0.127	0.403
C2E21_0056	C2E21_8023	3076.A0A2P6U4N8	3076.A0A2P6TFJ4	0.116	0	0	0	0	0	0.411	0.149	0.518
C2E21_0056	C2E21_7986	3076.A0A2P6U4N8	3076.A0A2P6TFZ9	0	0	0	0	0.139	0.095	0.888	0.118	0.912
C2E21_0056	C2E21_7809	3076.A0A2P6U4N8	3076.A0A2P6TGC6	0.092	0	0	0	0.050	0	0.884	0.114	0.899
C2E21_0056	C2E21_7702	3076.A0A2P6U4N8	3076.A0A2P6TGV2	0	0	0	0	0.252	0.099	0.931	0.392	0.967
C2E21_0056	C2E21_7667	3076.A0A2P6U4N8	3076.A0A2P6TGX9	0	0	0	0	0.060	0.051	0.868	0.086	0.877
C2E21_0056	C2E21_7597	3076.A0A2P6U4N8	3076.A0A2P6TH86	0	0	0	0	0.139	0.095	0.923	0.118	0.939
C2E21_0056	C2E21_7353	3076.A0A2P6U4N8	3076.A0A2P6THW9	0	0	0	0	0.139	0.095	0.967	0.118	0.974
C2E21_0056	C2E21_7368	3076.A0A2P6U4N8	3076.A0A2P6TI93	0	0	0	0	0.139	0.071	0.906	0.114	0.924
C2E21_0056	C2E21_7080	3076.A0A2P6U4N8	3076.A0A2P6TIY7	0	0	0	0	0	0.054	0.713	0	0.716
C2E21_0056	C2E21_6901	3076.A0A2P6U4N8	3076.A0A2P6TJ39	0	0	0	0	0.078	0	0.884	0.114	0.896
C2E21_0056	C2E21_6873	3076.A0A2P6U4N8	3076.A0A2P6TJA4	0	0	0	0	0.299	0.187	0.289	0.152	0.610
C2E21_0056	C2E21_6627	3076.A0A2P6U4N8	3076.A0A2P6TJX4	0	0	0	0	0.055	0	0.884	0.143	0.897
C2E21_0056	C2E21_6769	3076.A0A2P6U4N8	3076.A0A2P6TK10	0	0	0	0	0.101	0	0.884	0.114	0.899
C2E21_0056	C2E21_6737	3076.A0A2P6U4N8	3076.A0A2P6TKK3	0	0.895	0.535	0	0.540	0.688	0.967	0.331	0.999
C2E21_0056	C2E21_6363	3076.A0A2P6U4N8	3076.A0A2P6TKU7	0.130	0	0	0	0.272	0	0	0.272	0.498
C2E21_0056	C2E21_6204	3076.A0A2P6U4N8	3076.A0A2P6TL15	0.124	0	0	0	0.146	0.055	0	0.618	0.693
C2E21_0056	C2E21_6300	3076.A0A2P6U4N8	3076.A0A2P6TL93	0.047	0	0	0	0.367	0.108	0.076	0.192	0.525
C2E21_0056	C2E21_6315	3076.A0A2P6U4N8	3076.A0A2P6TLQ0	0.055	0	0	0	0.288	0.142	0	0.116	0.421
C2E21_0056	C2E21_5943	3076.A0A2P6U4N8	3076.A0A2P6TM42	0.098	0	0	0	0.432	0.138	0	0.116	0.557
C2E21_0056	C2E21_6000	3076.A0A2P6U4N8	3076.A0A2P6TMT4	0	0	0	0	0.153	0.205	0.496	0.124	0.662
C2E21_0056	C2E21_5958	3076.A0A2P6U4N8	3076.A0A2P6TMX2	0	0	0	0	0	0.214	0.545	0.213	0.693
C2E21_0056	C2E21_5419	3076.A0A2P6U4N8	3076.A0A2P6TN78	0	0	0	0	0.153	0.205	0.496	0.124	0.662
