Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
KAI7841868.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7841874.1,GO:0005615,C:extracellular space,1.0,1-17,,,,,
KAI7841881.1,GO:0012505,C:endomembrane system,0.88,,,,53-67;69-96;211-229;253-276,,
KAI7841882.1,GO:0012505,C:endomembrane system,0.99,,,,4-33;35-49,,
KAI7841883.1,GO:0012505,C:endomembrane system,1.0,,,,4-34;36-48,,
KAI7841884.1,GO:0005886,C:plasma membrane,0.85,,,,197-215;715-726;934-952;1066-1077;1095-1114,,
KAI7841886.1,GO:0012505,C:endomembrane system,0.71,,,,122-133,,
KAI7841887.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841895.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841898.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7841900.1,GO:0005737,C:cytoplasm,0.83,,,,,,
KAI7841905.1,GO:0009535,C:chloroplast thylakoid membrane,0.81,,,1-31,63-77,,
KAI7841916.1,GO:0012505,C:endomembrane system,0.91,,,,4-23;25-45;59-86;104-120;139-156;170-189;314-331;597-608,,
KAI7841917.1,GO:0012505,C:endomembrane system,0.88,,,,9-30,,
KAI7841938.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841940.1,GO:0046658,C:anchored component of plasma membrane,1.0,1-21,,,,,411-411
KAI7841967.1,GO:0012505,C:endomembrane system,1.0,,,,4-19;62-87;96-118;128-150;256-283,,
KAI7841971.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841978.1,GO:0005739,C:mitochondrion,0.87,,1-33,,,,
KAI7841988.1,GO:0005886,C:plasma membrane,0.68,,,,375-392;441-452;2521-2539;2590-2601;3213-3230;3273-3284;4541-4558;4604-4620;5807-5823;5877-5888;6954-6972,,
KAI7841989.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7841999.1,GO:0009507,C:chloroplast,0.89,,,,,,
KAI7842010.1,GO:0012505,C:endomembrane system,0.61,,,,103-127,,
KAI7842011.1,GO:0012505,C:endomembrane system,0.71,,,,103-127,,
KAI7842012.1,GO:0012505,C:endomembrane system,0.61,,,,236-247;277-288,,
KAI7842014.1,GO:0012505,C:endomembrane system,0.97,,,,14-37;57-78;92-113;121-144;156-180;196-211;213-239,,
KAI7842018.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7842023.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7842030.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842038.1,GO:0031090,C:organelle membrane,0.89,,,,150-174,,
KAI7842047.1,GO:0005886,C:plasma membrane,0.95,,,,1501-1523,,
KAI7842048.1,GO:0005886,C:plasma membrane,0.95,,,,1528-1550,,
KAI7842056.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842057.1,GO:0005886,C:plasma membrane,0.66,,,,21-36;105-122,,
KAI7842066.1,GO:0031090,C:organelle membrane,0.9,,,,395-413,,
KAI7842067.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842069.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842070.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842087.1,GO:0031090,C:organelle membrane,0.91,,,,15-26;452-463,,
KAI7842088.1,GO:0031090,C:organelle membrane,0.67,,,,286-314;498-516,,
KAI7842101.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842112.1,GO:0005739,C:mitochondrion,0.59,,1-45,,,,
KAI7842113.1,GO:0005739,C:mitochondrion,0.59,,1-45,,,,
KAI7842114.1,GO:0031090,C:organelle membrane,0.65,,,,11-38,,
KAI7842119.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842129.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842133.1,GO:0005739,C:mitochondrion,0.63,,1-47,,,,
KAI7842144.1,GO:0005615,C:extracellular space,1.0,1-24,,,,,
KAI7842155.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842158.1,GO:0005739,C:mitochondrion,0.82,,1-25,,,,
KAI7842175.1,GO:0009707,C:chloroplast outer membrane,0.76,,,1-45,195-213,,
KAI7842176.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842184.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842191.1,GO:0005615,C:extracellular space,0.7,,,,,,
KAI7842193.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842196.1,GO:0005886,C:plasma membrane,0.93,,,,632-651;717-742;749-769;795-823;829-855;893-927;964-990,,
KAI7842202.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842204.1,GO:0005739,C:mitochondrion,0.94,,1-58,,,,
KAI7842207.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842211.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842226.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842228.1,GO:0005615,C:extracellular space,1.0,1-21,,,,,
KAI7842235.1,GO:0005886,C:plasma membrane,0.85,,,,193-204;323-337;379-397;694-716;725-753;1021-1048;1100-1120;1160-1175;1177-1204;1483-1496,,
KAI7842236.1,GO:0005615,C:extracellular space,0.69,,,,,,
KAI7842249.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7842257.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842258.1,GO:0009507,C:chloroplast,0.69,,,,,,
KAI7842274.1,GO:0005615,C:extracellular space,0.98,1-17,,,,,
KAI7842281.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842282.1,GO:0005739,C:mitochondrion,0.82,,1-47,,,,
KAI7842291.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842294.1,GO:0031090,C:organelle membrane,0.96,,,,95-113,,
KAI7842303.1,GO:0005615,C:extracellular space,0.95,1-22,,,,,
KAI7842309.1,GO:0005739,C:mitochondrion,0.9,,1-38,,,,
KAI7842322.1,GO:0012505,C:endomembrane system,0.69,,,,42-64;173-188;374-406;417-443;453-477;483-507;558-583,,
KAI7842323.1,GO:0005886,C:plasma membrane,0.6,,,,66-82;85-105;270-302;315-341;352-375;381-403;483-506,,
KAI7842327.1,GO:0005615,C:extracellular space,1.0,1-19,,,,,
KAI7842330.1,GO:0031090,C:organelle membrane,0.81,,,,149-169;198-220;224-241;253-272;282-302;327-349;354-375;385-411,,
KAI7842332.1,GO:0009543,C:chloroplast thylakoid lumen,0.81,,,1-30,,,
KAI7842342.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842344.1,GO:0031090,C:organelle membrane,0.96,,,,162-183;336-347,,
KAI7842350.1,GO:0031090,C:organelle membrane,0.54,,,,647-664,,
KAI7842352.1,GO:0012505,C:endomembrane system,0.87,,,,32-53;86-106;116-139;187-208;215-238;243-264,,
KAI7842354.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842359.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7842369.1,GO:0009535,C:chloroplast thylakoid membrane,0.86,,,1-31,220-231,,
KAI7842375.1,GO:0031966,C:mitochondrial membrane,0.54,,1-21,,401-412,,
KAI7842376.1,GO:0005739,C:mitochondrion,0.92,,1-47,,,,
KAI7842377.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7842386.1,GO:0009535,C:chloroplast thylakoid membrane,0.84,,,1-39,40-53;270-285;500-520,,
KAI7842407.1,GO:0005739,C:mitochondrion,0.75,,1-39,,,,
KAI7842408.1,GO:0005886,C:plasma membrane,0.7,,,,19-33;35-59;322-350;475-493,,
KAI7842414.1,GO:0012505,C:endomembrane system,0.88,,,,199-211,,
KAI7842416.1,GO:0012505,C:endomembrane system,0.99,,,,2-24;76-99;106-117;132-159;170-194;267-298;306-330;338-362,,
KAI7842417.1,GO:0005886,C:plasma membrane,0.93,,,,62-88;120-138,,
KAI7842419.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842421.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842438.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842465.1,GO:0031090,C:organelle membrane,0.87,,,,326-337;383-409,,
KAI7842466.1,GO:0031090,C:organelle membrane,0.87,,,,327-338;387-411,,
KAI7842469.1,GO:0005886,C:plasma membrane,0.45,,,,110-134,,
KAI7842471.1,GO:0005739,C:mitochondrion,0.92,,1-42,,,,
KAI7842490.1,GO:0031090,C:organelle membrane,0.93,,,,50-61;173-192,,
KAI7842492.1,GO:0009507,C:chloroplast,0.93,,,,,,
KAI7842515.1,GO:0031090,C:organelle membrane,0.82,,,,30-49;59-82;90-109;121-153;155-166;172-198,,
KAI7842516.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842525.1,GO:0012505,C:endomembrane system,0.97,,,,88-110;127-148;156-180;241-255;257-283,,
KAI7842551.1,GO:0012505,C:endomembrane system,0.94,,,,4-25;64-89;109-138;147-177;184-201;286-309;326-351,,
KAI7842552.1,GO:0005615,C:extracellular space,1.0,,,,,,
KAI7842553.1,GO:0046658,C:anchored component of plasma membrane,0.55,1-19,,,459-482;637-648,,1456-1456
KAI7842556.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842557.1,GO:0005739,C:mitochondrion,0.59,,1-20,,,,
KAI7842571.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842572.1,GO:0005886,C:plasma membrane,0.72,,,,117-131,,
KAI7842573.1,GO:0009535,C:chloroplast thylakoid membrane,0.84,,,1-56,320-335,,
KAI7842578.1,GO:0005886,C:plasma membrane,0.94,,,,36-70;1881-1892,,
KAI7842580.1,GO:0005615,C:extracellular space,0.54,,,,,,
KAI7842585.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7842587.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842589.1,GO:0031090,C:organelle membrane,0.94,,,,273-301,,
KAI7842590.1,GO:0012505,C:endomembrane system,0.83,,,,430-443,,
KAI7842593.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842600.1,GO:0005739,C:mitochondrion,0.51,,1-20,,,,
KAI7842602.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842609.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842611.1,GO:0012505,C:endomembrane system,0.71,,,,83-108;260-277,,
KAI7842613.1,GO:0005739,C:mitochondrion,0.9,,1-28,,,,
KAI7842618.1,GO:0005739,C:mitochondrion,0.93,,1-36,,,,
KAI7842619.1,GO:0005886,C:plasma membrane,0.86,,,,22-44;109-120,,
KAI7842630.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842651.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842652.1,GO:0005739,C:mitochondrion,0.56,,1-31,,,,
KAI7842653.1,GO:0005886,C:plasma membrane,0.8,,,,52-77;90-112;257-281;307-338;777-811;920-941;954-976;991-1014,,
KAI7842666.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842679.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842680.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842681.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842683.1,GO:0005886,C:plasma membrane,0.72,,,,395-406,,
KAI7842709.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842711.1,GO:0005739,C:mitochondrion,0.95,,1-47,,,,
KAI7842722.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842723.1,GO:0012505,C:endomembrane system,0.94,,,,126-148;200-220,,
KAI7842730.1,GO:0009707,C:chloroplast outer membrane,0.89,,,1-40,398-409,,
KAI7842745.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842747.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842762.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7842764.1,GO:0005615,C:extracellular space,0.7,,,,,,
KAI7842778.1,GO:0005886,C:plasma membrane,0.49,,,,1096-1107;1216-1227,,
KAI7842784.1,GO:0005886,C:plasma membrane,0.94,,,,83-107;113-136;159-182;218-252;270-291;302-327;357-384;403-425;430-455;464-491,,
KAI7842791.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7842792.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842794.1,GO:0012505,C:endomembrane system,0.97,,,,38-57;121-145;153-183;200-226;232-257;345-365;404-430,,
KAI7842799.1,GO:0005886,C:plasma membrane,0.77,,,,650-668,,
KAI7842803.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842822.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842850.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842857.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842862.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842877.1,GO:0012505,C:endomembrane system,0.97,,,,267-291;435-452,,
KAI7842879.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842886.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842889.1,GO:0005886,C:plasma membrane,0.91,1-26,,,258-279;285-301;308-328;338-362;369-391;401-425;438-464;478-509;553-579;587-610;617-641,,
KAI7842891.1,GO:0012505,C:endomembrane system,0.84,,,,170-181,,
KAI7842899.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842910.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7842911.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842916.1,GO:0009707,C:chloroplast outer membrane,0.71,,,1-67,300-311,,
KAI7842920.1,GO:0009507,C:chloroplast,0.63,,,,,,
KAI7842935.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842938.1,GO:0012505,C:endomembrane system,0.8,1-22,,,129-140;752-763;999-1010;1043-1059,,
KAI7842945.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842955.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842956.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842957.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842958.1,GO:0009507,C:chloroplast,0.98,,,,,,
KAI7842962.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7842975.1,GO:0005739,C:mitochondrion,0.52,,1-20,,,,
KAI7842977.1,GO:0031090,C:organelle membrane,0.73,,,,312-323;366-383;749-769;905-925;934-956,,
KAI7842979.1,GO:0031090,C:organelle membrane,0.77,,,,9-27;36-59;67-88;99-126;133-156;401-419,,
KAI7842983.1,GO:0012505,C:endomembrane system,0.89,,,,4-28;43-62;69-90;119-139;149-175;201-229,,
KAI7842984.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7842994.1,GO:0012505,C:endomembrane system,0.77,,,,87-111;118-140;162-187;204-223;229-252;274-298;313-340,,
KAI7842995.1,GO:0009535,C:chloroplast thylakoid membrane,0.77,,,1-29,41-56,,
KAI7843001.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843004.1,GO:0031090,C:organelle membrane,0.85,,,,150-161,,
KAI7843013.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843021.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843030.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843036.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843038.1,GO:0005739,C:mitochondrion,0.96,,1-48,,,,
KAI7843040.1,GO:0031966,C:mitochondrial membrane,0.65,,1-20,,450-474;484-510;524-544;558-581;593-615,,
KAI7843044.1,GO:0031090,C:organelle membrane,0.81,,,,189-220;222-233;278-293,,
KAI7843050.1,GO:0012505,C:endomembrane system,0.73,,,,753-769,,
KAI7843054.1,GO:0005615,C:extracellular space,1.0,,,,,,
KAI7843055.1,GO:0009535,C:chloroplast thylakoid membrane,0.86,,,1-52,559-570,,
KAI7843058.1,GO:0005739,C:mitochondrion,0.92,,1-29,,,,
KAI7843059.1,GO:0005739,C:mitochondrion,0.92,,1-29,,,,
KAI7843060.1,GO:0005739,C:mitochondrion,0.82,,1-62,,,,
KAI7843062.1,GO:0005739,C:mitochondrion,0.72,,1-54,,,,
KAI7843063.1,GO:0005739,C:mitochondrion,0.72,,1-54,,,,
KAI7843072.1,GO:0005886,C:plasma membrane,0.85,,,,144-167;186-210;219-241;252-275;405-432;453-484;948-978;988-1010,,
KAI7843088.1,GO:0005615,C:extracellular space,0.74,,,,,,
KAI7843090.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843091.1,GO:0031966,C:mitochondrial membrane,0.57,,1-23,,91-110,,
KAI7843094.1,GO:0005739,C:mitochondrion,0.95,,1-44,,,,
KAI7843095.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843098.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843102.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843112.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843115.1,GO:0005886,C:plasma membrane,0.86,,,,888-904;958-982;991-1010,,
KAI7843132.1,GO:0012505,C:endomembrane system,0.84,,,,166-185;191-210;235-256;258-277;321-342;367-389;395-416;425-445,,
KAI7843138.1,GO:0005886,C:plasma membrane,0.89,1-21,,,960-972;1218-1232;1261-1276,,
KAI7843145.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843152.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843157.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843164.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843170.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843182.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843186.1,GO:0009535,C:chloroplast thylakoid membrane,0.75,,,1-34,102-120,,
KAI7843197.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843203.1,GO:0031966,C:mitochondrial membrane,0.91,,1-45,,88-105;114-136;161-185;189-210;230-241;291-311;334-357;363-384;393-412;428-447,,
KAI7843212.1,GO:0005739,C:mitochondrion,0.68,,1-22,,,,
KAI7843213.1,GO:0005739,C:mitochondrion,0.68,,1-22,,,,
KAI7843215.1,GO:0031966,C:mitochondrial membrane,0.64,,1-44,,153-177;314-338,,
KAI7843221.1,GO:0005886,C:plasma membrane,0.88,,,,164-191;207-238;240-251;305-329;332-358;405-439;447-477;968-994;1015-1040;1042-1053;1085-1112;1116-1140;1191-1223;1231-1259,,
KAI7843240.1,GO:0009707,C:chloroplast outer membrane,0.75,,,1-40,145-156,,
KAI7843241.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7843244.1,GO:0005739,C:mitochondrion,0.57,,1-31,,,,
KAI7843248.1,GO:0031090,C:organelle membrane,0.69,,,,304-315;560-571;597-614,,
KAI7843253.1,GO:0012505,C:endomembrane system,0.9,,,,173-196;309-322;494-505,,
KAI7843267.1,GO:0005886,C:plasma membrane,0.79,,,,34-54;90-114;149-172;191-210;242-268;337-364;375-396;418-437;447-466;477-506;510-529,,
KAI7843268.1,GO:0005739,C:mitochondrion,0.67,,1-64,,,,
KAI7843282.1,GO:0012505,C:endomembrane system,0.91,,,,167-187;391-412;434-452,,
KAI7843294.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843295.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843299.1,GO:0012505,C:endomembrane system,0.75,,,,12-23;93-108,,
KAI7843303.1,GO:0031090,C:organelle membrane,0.8,,,,655-679,,
KAI7843305.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843313.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843314.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843316.1,GO:0031090,C:organelle membrane,0.92,,,,117-140,,
KAI7843319.1,GO:0005886,C:plasma membrane,0.64,,,,811-829,,
KAI7843320.1,GO:0005886,C:plasma membrane,0.62,,,,837-856,,
KAI7843340.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843341.1,GO:0031090,C:organelle membrane,0.81,,,,278-289,,
KAI7843359.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843361.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843367.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7843379.1,GO:0009707,C:chloroplast outer membrane,0.66,,,1-48,206-217,,
KAI7843397.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843402.1,GO:0005886,C:plasma membrane,0.71,1-20,,,60-78,,
KAI7843403.1,GO:0005615,C:extracellular space,0.99,1-20,,,,,
KAI7843406.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843410.1,GO:0009535,C:chloroplast thylakoid membrane,0.84,,,1-31,504-531;533-544;627-646;686-701,,
KAI7843415.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843416.1,GO:0009535,C:chloroplast thylakoid membrane,0.59,,,1-25,32-43,,
KAI7843426.1,GO:0005739,C:mitochondrion,0.86,,1-50,,,,
KAI7843431.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843434.1,GO:0009507,C:chloroplast,0.76,,,,,,
KAI7843445.1,GO:0012505,C:endomembrane system,0.97,,,,58-80;83-104;117-140;157-180;186-209;217-238;257-278;352-376;401-418,,
KAI7843456.1,GO:0005739,C:mitochondrion,0.59,,1-31,,,,
KAI7843457.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7843460.1,GO:0009507,C:chloroplast,0.64,,,,,,
KAI7843468.1,GO:0009535,C:chloroplast thylakoid membrane,0.71,,,1-35,233-248,,
KAI7843474.1,GO:0005739,C:mitochondrion,0.93,,1-45,,,,
KAI7843482.1,GO:0005739,C:mitochondrion,0.95,,1-45,,,,
KAI7843486.1,GO:0009535,C:chloroplast thylakoid membrane,0.83,,,1-34,239-255,,
KAI7843495.1,GO:0005634,C:nucleus,1.0,,,,,,
